ID1	ID2	Value
f1_1	f1_1	0.955062508583069
f1_2	f1_2	1.0272296667099
f1_3	f1_3	1.0192574262619
f1_4	f1_4	1.0053836107254
f1_5	f1_1	0.464809566736221
f1_5	f1_2	0.521335899829865
f1_5	f1_5	0.997392296791077
f1_6	f1_1	0.473309367895126
f1_6	f1_2	0.513267338275909
f1_6	f1_5	0.484227329492569
f1_6	f1_6	0.984696626663208
f1_7	f1_1	0.232762306928635
f1_7	f1_2	0.258088946342468
f1_7	f1_3	0.515451014041901
f1_7	f1_5	0.494636446237564
f1_7	f1_6	0.238451540470123
f1_7	f1_7	1.02547419071198
f1_8	f1_1	0.225709065794945
f1_8	f1_2	0.269138664007187
f1_8	f1_3	0.513793528079987
f1_8	f1_5	0.516880631446838
f1_8	f1_6	0.234189376235008
f1_8	f1_7	0.521177232265472
f1_8	f1_8	1.02659106254578
f1_9	f1_1	0.247254639863968
f1_9	f1_2	0.25086784362793
f1_9	f1_4	0.511323690414429
f1_9	f1_5	0.24963316321373
f1_9	f1_6	0.495450347661972
f1_9	f1_7	0.118438847362995
f1_9	f1_8	0.108259171247482
f1_9	f1_9	1.01509189605713
f1_10	f1_1	0.246000483632088
f1_10	f1_2	0.272557705640793
f1_10	f1_4	0.517041683197021
f1_10	f1_5	0.247344851493835
f1_10	f1_6	0.510490357875824
f1_10	f1_7	0.100921437144279
f1_10	f1_8	0.108099386096001
f1_10	f1_9	0.511669635772705
f1_10	f1_10	1.02757239341736
f2_1	f2_1	0.972629606723785
f2_2	f2_2	1.02249157428741
f2_3	f2_3	1.01376605033875
f2_4	f2_4	0.983780086040497
f2_5	f2_1	0.468000531196594
f2_5	f2_2	0.501353859901428
f2_5	f2_5	1.00153577327728
f2_6	f2_1	0.486283361911774
f2_6	f2_2	0.497217506170273
f2_6	f2_5	0.485409080982208
f2_6	f2_6	1.00368547439575
f2_7	f2_1	0.241282969713211
f2_7	f2_2	0.251993447542191
f2_7	f2_3	0.508090198040009
f2_7	f2_5	0.491704225540161
f2_7	f2_6	0.241965234279633
f2_7	f2_7	1.00850665569305
f2_8	f2_1	0.241595163941383
f2_8	f2_2	0.234270542860031
f2_8	f2_3	0.506540715694427
f2_8	f2_5	0.493655055761337
f2_8	f2_6	0.239215344190598
f2_8	f2_7	0.498685598373413
f2_8	f2_8	1.00258564949036
f2_9	f2_1	0.238735869526863
f2_9	f2_2	0.246086686849594
f2_9	f2_4	0.485925853252411
f2_9	f2_5	0.238777041435242
f2_9	f2_6	0.495717167854309
f2_9	f2_7	0.127982616424561
f2_9	f2_8	0.114321745932102
f2_9	f2_9	0.999965667724609
f2_10	f2_1	0.252076596021652
f2_10	f2_2	0.260388851165771
f2_10	f2_4	0.485371977090836
f2_10	f2_5	0.261873155832291
f2_10	f2_6	0.513823986053467
f2_10	f2_7	0.143087118864059
f2_10	f2_8	0.144927948713303
f2_10	f2_9	0.488309919834137
f2_10	f2_10	1.00362420082092
f3_1	f3_1	0.984568953514099
f3_2	f3_2	1.02603375911713
f3_3	f3_3	0.99467533826828
f3_4	f3_4	0.992046475410461
f3_5	f3_1	0.477728933095932
f3_5	f3_2	0.504377722740173
f3_5	f3_5	0.987231731414795
f3_6	f3_1	0.492935866117477
f3_6	f3_2	0.512874603271484
f3_6	f3_5	0.496158003807068
f3_6	f3_6	0.991019189357758
f3_7	f3_1	0.238920837640762
f3_7	f3_2	0.248509123921394
f3_7	f3_3	0.506619811058044
f3_7	f3_5	0.485125660896301
f3_7	f3_6	0.255558669567108
f3_7	f3_7	0.994974792003632
f3_8	f3_1	0.228060588240623
f3_8	f3_2	0.242307096719742
f3_8	f3_3	0.496911227703094
f3_8	f3_5	0.478599637746811
f3_8	f3_6	0.244483903050423
f3_8	f3_7	0.505205929279327
f3_8	f3_8	0.993115782737732
f3_9	f3_1	0.251683264970779
f3_9	f3_2	0.250138908624649
f3_9	f3_4	0.500064134597778
f3_9	f3_5	0.243654742836952
f3_9	f3_6	0.491263419389725
f3_9	f3_7	0.109532326459885
f3_9	f3_8	0.110806629061699
f3_9	f3_9	0.981053352355957
f3_10	f3_1	0.241513937711716
f3_10	f3_2	0.269317924976349
f3_10	f3_4	0.504772305488586
f3_10	f3_5	0.257742822170258
f3_10	f3_6	0.503401756286621
f3_10	f3_7	0.136610686779022
f3_10	f3_8	0.12643226981163
f3_10	f3_9	0.504574596881866
f3_10	f3_10	1.00414335727692
f4_1	f4_1	1.00779569149017
f4_2	f4_2	1.00318217277527
f4_3	f4_3	1.00349700450897
f4_4	f4_4	0.970110833644867
f4_5	f4_1	0.492510676383972
f4_5	f4_2	0.498842775821686
